Disease,Gene,Gene_Name,Age_Of_Onset,Inheritance_Type
Primary lateral sclerosis,SPG7,"SPG7 matrix AAA peptidase subunit, paraplegin","Adult, Elderly","Autosomal dominant, Autosomal recessive, Not applicable"
3-hydroxy-3-methylglutaryl-CoA synthase deficiency,HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2,Childhood,Autosomal recessive
Nanophthalmos,MFRP,membrane frizzled-related protein,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Nanophthalmos,TMEM98,transmembrane protein 98,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Nanophthalmos,OTX2,orthodenticle homeobox 2,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Nanophthalmos,SIX6,SIX homeobox 6,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Nanophthalmos,RAX,retina and anterior neural fold homeobox,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Nanophthalmos,ALDH1A3,aldehyde dehydrogenase 1 family member A3,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Nanophthalmos,PRSS56,serine protease 56,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Nanophthalmos,SOX2,SRY-box transcription factor 2,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Nanophthalmos,BEST1,bestrophin 1,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
Nanophthalmos,CRB1,crumbs cell polarity complex component 1,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable"
X-linked dominant chondrodysplasia punctata,EBP,EBP cholestenol delta-isomerase,"Antenatal, Infancy, Neonatal",X-linked dominant
ALDH18A1-related De Barsy syndrome,ALDH18A1,aldehyde dehydrogenase 18 family member A1,"Infancy, Neonatal","Autosomal recessive, Not applicable"
Hemolytic anemia due to pyrimidine 5' nucleotidase deficiency,NT5C3A,"5'-nucleotidase, cytosolic IIIA","Infancy, Neonatal",Autosomal recessive
Desmosterolosis,DHCR24,24-dehydrocholesterol reductase,"Antenatal, Infancy, Neonatal",Autosomal recessive
Non-syndromic bicoronal craniosynostosis,FGFR3,fibroblast growth factor receptor 3,"Infancy, Neonatal","Autosomal dominant, Not applicable"
Non-syndromic bicoronal craniosynostosis,ZIC1,Zic family zinc finger 1,"Infancy, Neonatal","Autosomal dominant, Not applicable"
Non-syndromic bicoronal craniosynostosis,TCF12,transcription factor 12,"Infancy, Neonatal","Autosomal dominant, Not applicable"
Non-syndromic bicoronal craniosynostosis,TWIST1,twist family bHLH transcription factor 1,"Infancy, Neonatal","Autosomal dominant, Not applicable"
Congenital sucrase-isomaltase deficiency,SI,sucrase-isomaltase,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
Genetic epilepsy with febrile seizure plus,HCN1,hyperpolarization activated cyclic nucleotide gated potassium channel 1,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,SLC32A1,solute carrier family 32 member 1,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,FGF13,fibroblast growth factor 13,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,SCN1A,sodium voltage-gated channel alpha subunit 1,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,SCN1B,sodium voltage-gated channel beta subunit 1,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,SCN2A,sodium voltage-gated channel alpha subunit 2,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,SCN9A,sodium voltage-gated channel alpha subunit 9,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,GABRD,gamma-aminobutyric acid type A receptor subunit delta,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,STX1B,syntaxin 1B,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,CPA6,carboxypeptidase A6,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,PRRT2,proline rich transmembrane protein 2,Childhood,Autosomal dominant
Genetic epilepsy with febrile seizure plus,ADGRV1,adhesion G protein-coupled receptor V1,Childhood,Autosomal dominant
Hypocomplementemic urticarial vasculitis,DNASE1L3,deoxyribonuclease 1L3,"Adult, Childhood","Autosomal recessive, Not applicable"
Stevens-Johnson syndrome,HLA-B,"major histocompatibility complex, class I, B",All ages,Not applicable
Stevens-Johnson syndrome,IKZF1,IKAROS family zinc finger 1,All ages,Not applicable
Bleeding disorder due to P2Y12 defect,P2RY12,purinergic receptor P2Y12,Childhood,Autosomal recessive
Distal deletion 1q syndrome,ZBTB18,zinc finger and BTB domain containing 18,Neonatal,
COL4A1/2-related familial vascular leukoencephalopathy,COL4A1,collagen type IV alpha 1 chain,,Autosomal dominant
COL4A1/2-related familial vascular leukoencephalopathy,COL4A2,collagen type IV alpha 2 chain,,Autosomal dominant
Hereditary sensory and autonomic neuropathy type 1,ATL1,atlastin GTPase 1,All ages,Autosomal dominant
Hereditary sensory and autonomic neuropathy type 1,SPTLC1,serine palmitoyltransferase long chain base subunit 1,All ages,Autosomal dominant
Hereditary sensory and autonomic neuropathy type 1,SPTLC2,serine palmitoyltransferase long chain base subunit 2,All ages,Autosomal dominant
Hereditary sensory and autonomic neuropathy type 1,ATL3,atlastin GTPase 3,All ages,Autosomal dominant
Hyperinsulinism-hyperammonemia syndrome,GLUD1,glutamate dehydrogenase 1,"Infancy, Neonatal",Autosomal dominant
Imerslund-Gräsbeck syndrome,AMN,amnion associated transmembrane protein,Childhood,Autosomal recessive
Imerslund-Gräsbeck syndrome,CUBN,cubilin,Childhood,Autosomal recessive
Combined deficiency of factor V and factor VIII,MCFD2,"multiple coagulation factor deficiency 2, ER cargo receptor complex subunit",All ages,Autosomal recessive
Combined deficiency of factor V and factor VIII,LMAN1,"lectin, mannose binding 1",All ages,Autosomal recessive
5-oxoprolinase deficiency,OPLAH,"5-oxoprolinase, ATP-hydrolysing","Childhood, Infancy, Neonatal",Autosomal recessive
Kleine-Levin syndrome,TRANK1,tetratricopeptide repeat and ankyrin repeat containing 1,"Adolescent, Adult, Childhood",
Neuroectodermal melanolysosomal disease,MYO5A,myosin VA,Childhood,Autosomal recessive
Familial GPIHBP1 deficiency,GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,Adult,Autosomal recessive
Pediatric hepatocellular carcinoma,MET,"MET proto-oncogene, receptor tyrosine kinase","Adolescent, Childhood",Not applicable
Pediatric hepatocellular carcinoma,CTNNB1,catenin beta 1,"Adolescent, Childhood",Not applicable
Naxos disease,JUP,junction plakoglobin,"Infancy, Neonatal",Autosomal recessive
Glutamate-cysteine ligase deficiency,GCLC,glutamate-cysteine ligase catalytic subunit,Infancy,Autosomal recessive
Gamma-glutamyl transpeptidase deficiency,GGT1,gamma-glutamyltransferase 1,Infancy,Autosomal recessive
Autosomal non-syndromic agammaglobulinemia,SPI1,Spi-1 proto-oncogene,All ages,"Autosomal dominant, Autosomal recessive"
Autosomal non-syndromic agammaglobulinemia,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",All ages,"Autosomal dominant, Autosomal recessive"
Autosomal non-syndromic agammaglobulinemia,IGHM,immunoglobulin heavy constant mu,All ages,"Autosomal dominant, Autosomal recessive"
Autosomal non-syndromic agammaglobulinemia,IGLL1,immunoglobulin lambda like polypeptide 1,All ages,"Autosomal dominant, Autosomal recessive"
Autosomal non-syndromic agammaglobulinemia,LRRC8A,leucine rich repeat containing 8 VRAC subunit A,All ages,"Autosomal dominant, Autosomal recessive"
Autosomal non-syndromic agammaglobulinemia,TCF3,transcription factor 3,All ages,"Autosomal dominant, Autosomal recessive"
Autosomal non-syndromic agammaglobulinemia,CD79A,CD79a molecule,All ages,"Autosomal dominant, Autosomal recessive"
Autosomal non-syndromic agammaglobulinemia,CD79B,CD79b molecule,All ages,"Autosomal dominant, Autosomal recessive"
Autosomal non-syndromic agammaglobulinemia,BLNK,B cell linker,All ages,"Autosomal dominant, Autosomal recessive"
Autosomal non-syndromic agammaglobulinemia,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,All ages,"Autosomal dominant, Autosomal recessive"
Lethal multiple pterygium syndrome,NEB,nebulin,Antenatal,"Autosomal recessive, X-linked recessive"
Lethal multiple pterygium syndrome,RAPSN,receptor associated protein of the synapse,Antenatal,"Autosomal recessive, X-linked recessive"
Lethal multiple pterygium syndrome,RYR1,ryanodine receptor 1,Antenatal,"Autosomal recessive, X-linked recessive"
Lethal multiple pterygium syndrome,CHRNA1,cholinergic receptor nicotinic alpha 1 subunit,Antenatal,"Autosomal recessive, X-linked recessive"
Lethal multiple pterygium syndrome,CHRND,cholinergic receptor nicotinic delta subunit,Antenatal,"Autosomal recessive, X-linked recessive"
Lethal multiple pterygium syndrome,CHRNG,cholinergic receptor nicotinic gamma subunit,Antenatal,"Autosomal recessive, X-linked recessive"
"Metaphyseal chondrodysplasia, Jansen type",PTH1R,parathyroid hormone 1 receptor,"Infancy, Neonatal",Autosomal dominant
Dravet syndrome,SCN1A,sodium voltage-gated channel alpha subunit 1,"Infancy, Neonatal",Autosomal dominant
Dravet syndrome,SCN1B,sodium voltage-gated channel beta subunit 1,"Infancy, Neonatal",Autosomal dominant
Dravet syndrome,SCN9A,sodium voltage-gated channel alpha subunit 9,"Infancy, Neonatal",Autosomal dominant
Dravet syndrome,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,"Infancy, Neonatal",Autosomal dominant
Dravet syndrome,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,"Infancy, Neonatal",Autosomal dominant
Dravet syndrome,PCDH19,protocadherin 19,"Infancy, Neonatal",Autosomal dominant
Dravet syndrome,SCN2A,sodium voltage-gated channel alpha subunit 2,"Infancy, Neonatal",Autosomal dominant
Lymphedema-distichiasis syndrome,FOXC2,forkhead box C2,All ages,Autosomal dominant
Reticular dysgenesis,AK2,adenylate kinase 2,"Infancy, Neonatal",Autosomal recessive
Familial lipase maturation factor 1 deficiency,LMF1,lipase maturation factor 1,Adult,Autosomal recessive
Trichothiodystrophy,MPLKIP,M-phase specific PLK1 interacting protein,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
Trichothiodystrophy,ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit","Infancy, Neonatal","Autosomal recessive, X-linked recessive"
Trichothiodystrophy,GTF2H5,general transcription factor IIH subunit 5,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
Trichothiodystrophy,ERCC3,"ERCC excision repair 3, TFIIH core complex helicase subunit","Infancy, Neonatal","Autosomal recessive, X-linked recessive"
Trichothiodystrophy,RNF113A,ring finger protein 113A,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
Trichothiodystrophy,GTF2E2,general transcription factor IIE subunit 2,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
Trichothiodystrophy,TARS1,threonyl-tRNA synthetase 1,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
Trichothiodystrophy,CARS1,cysteinyl-tRNA synthetase 1,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
Trichothiodystrophy,AARS1,alanyl-tRNA synthetase 1,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
Waldenström macroglobulinemia,MYD88,MYD88 innate immune signal transduction adaptor,Elderly,Multigenic/multifactorial
Infantile neuroaxonal dystrophy,PLA2G6,phospholipase A2 group VI,"Infancy, Neonatal",Autosomal recessive
Non-syndromic sagittal craniosynostosis,ALX4,ALX homeobox 4,"Infancy, Neonatal","Autosomal dominant, Not applicable"
Non-syndromic sagittal craniosynostosis,TWIST1,twist family bHLH transcription factor 1,"Infancy, Neonatal","Autosomal dominant, Not applicable"
T-B+ severe combined immunodeficiency due to JAK3 deficiency,JAK3,Janus kinase 3,"Infancy, Neonatal",Autosomal recessive
Congenital muscular dystrophy with integrin alpha-7 deficiency,ITGA7,integrin subunit alpha 7,"Infancy, Neonatal",Autosomal recessive
Telethonin-related limb-girdle muscular dystrophy R7,TCAP,titin-cap,"Adolescent, Childhood, Infancy",Autosomal recessive
FKRP-related limb-girdle muscular dystrophy R9,FKRP,fukutin related protein,"Adolescent, Adult, Childhood",Autosomal recessive
DNAJB6-related limb-girdle muscular dystrophy D1,DNAJB6,DnaJ heat shock protein family (Hsp40) member B6,Adult,Autosomal dominant
Danon disease,LAMP2,lysosomal associated membrane protein 2,Childhood,X-linked dominant
Immunodeficiency by defective expression of MHC class I,TAP2,"transporter 2, ATP binding cassette subfamily B member",Childhood,Autosomal recessive
Immunodeficiency by defective expression of MHC class I,TAP1,"transporter 1, ATP binding cassette subfamily B member",Childhood,Autosomal recessive
Immunodeficiency by defective expression of MHC class I,TAPBP,TAP binding protein,Childhood,Autosomal recessive
Immunodeficiency by defective expression of MHC class I,B2M,beta-2-microglobulin,Childhood,Autosomal recessive
Autosomal dominant primary hypomagnesemia with hypocalciuria,FXYD2,FXYD domain containing ion transport regulator 2,All ages,Autosomal dominant
Myopathic Ehlers-Danlos syndrome,COL12A1,collagen type XII alpha 1 chain,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
B3GALT6-related spondylodysplastic Ehlers-Danlos syndrome,B3GALT6,"beta-1,3-galactosyltransferase 6",Neonatal,Autosomal recessive
Classical-like Ehlers-Danlos syndrome type 2,AEBP1,AE binding protein 1,"Infancy, Neonatal",Autosomal recessive
PLG-related hereditary angioedema with normal C1Inh,PLG,plasminogen,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant
Tumor necrosis factor receptor 1 associated periodic syndrome,TNFRSF1A,TNF receptor superfamily member 1A,"Adolescent, Adult, Childhood, Infancy",Autosomal dominant
Pseudo-von Willebrand disease,GP1BA,glycoprotein Ib platelet subunit alpha,Adult,Autosomal dominant
Myelodysplastic syndrome,TP53,tumor protein p53,All ages,
Branchiootic syndrome,EYA1,EYA transcriptional coactivator and phosphatase 1,Neonatal,Autosomal dominant
Branchiootic syndrome,SIX1,SIX homeobox 1,Neonatal,Autosomal dominant
X-linked creatine transporter deficiency,SLC6A8,solute carrier family 6 member 8,"Childhood, Infancy","Not applicable, X-linked recessive"
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia,VCP,valosin containing protein,Adult,Autosomal dominant
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,Adult,Autosomal dominant
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,Adult,Autosomal dominant
Mantle cell lymphoma,CCND1,cyclin D1,Adult,"Multigenic/multifactorial, Not applicable"
Mantle cell lymphoma,ATM,ATM serine/threonine kinase,Adult,"Multigenic/multifactorial, Not applicable"
Mantle cell lymphoma,IGH,immunoglobulin heavy locus,Adult,"Multigenic/multifactorial, Not applicable"
Retinitis punctata albescens,PRPH2,peripherin 2,Childhood,"Autosomal dominant, Autosomal recessive"
Retinitis punctata albescens,RDH5,retinol dehydrogenase 5,Childhood,"Autosomal dominant, Autosomal recessive"
Retinitis punctata albescens,RHO,rhodopsin,Childhood,"Autosomal dominant, Autosomal recessive"
Retinitis punctata albescens,RLBP1,retinaldehyde binding protein 1,Childhood,"Autosomal dominant, Autosomal recessive"
MALT lymphoma,MALT1,MALT1 paracaspase,Adult,"Multigenic/multifactorial, Not applicable"
MALT lymphoma,BIRC3,baculoviral IAP repeat containing 3,Adult,"Multigenic/multifactorial, Not applicable"
MALT lymphoma,IGH,immunoglobulin heavy locus,Adult,"Multigenic/multifactorial, Not applicable"
MALT lymphoma,FOXP1,forkhead box P1,Adult,"Multigenic/multifactorial, Not applicable"
MALT lymphoma,BCL10,BCL10 immune signaling adaptor,Adult,"Multigenic/multifactorial, Not applicable"
Corpus callosum agenesis-intellectual disability-coloboma-micrognathia syndrome,IGBP1,immunoglobulin binding protein 1,"Infancy, Neonatal",X-linked recessive
Mohr-Tranebjaerg syndrome,TIMM8A,translocase of inner mitochondrial membrane 8A,Childhood,X-linked recessive
Muenke syndrome,FGFR3,fibroblast growth factor receptor 3,"Antenatal, Neonatal",Autosomal dominant
Brody myopathy,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive"
Caroli disease,PKHD1,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,All ages,"Autosomal recessive, Not applicable"
Isolated follicle stimulating hormone deficiency,FSHB,follicle stimulating hormone subunit beta,"Adolescent, Adult",Autosomal recessive
Congenital lactase deficiency,LCT,lactase,,Autosomal recessive
Congenital chloride diarrhea,SLC26A3,solute carrier family 26 member 3,"Infancy, Neonatal",Autosomal recessive
Classic pyoderma gangrenosum,PTPN6,protein tyrosine phosphatase non-receptor type 6,"Adolescent, Adult, Childhood, Elderly",Multigenic/multifactorial
Palmoplantar keratoderma-hereditary motor and sensory neuropathy syndrome,KRT1,keratin 1,"Childhood, Infancy, Neonatal",
Palmoplantar keratoderma-hereditary motor and sensory neuropathy syndrome,MPZ,myelin protein zero,"Childhood, Infancy, Neonatal",
Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity,SLC2A1,solute carrier family 2 member 1,Childhood,Autosomal dominant
Goldmann-Favre syndrome,NR2E3,nuclear receptor subfamily 2 group E member 3,"Adolescent, Childhood",Autosomal recessive
X-linked dystonia-parkinsonism,TAF1,TATA-box binding protein associated factor 1,Adult,"Not applicable, X-linked recessive"
Left ventricular noncompaction,PLEKHM2,pleckstrin homology and RUN domain containing M2,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,TNNT2,"troponin T2, cardiac type",All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,PKP2,plakophilin 2,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,ACTC1,actin alpha cardiac muscle 1,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,TBX20,T-box transcription factor 20,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,TPM1,tropomyosin 1,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,DTNA,dystrobrevin alpha,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,MYBPC3,myosin binding protein C3,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,MYH7,myosin heavy chain 7,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,LDB3,LIM domain binding 3,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,LMNA,lamin A/C,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,MIB1,MIB E3 ubiquitin protein ligase 1,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,PRDM16,PR/SET domain 16,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,MYH7B,myosin heavy chain 7B,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
Left ventricular noncompaction,MIB2,MIB E3 ubiquitin protein ligase 2,All ages,"Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
X-linked lymphoproliferative disease due to XIAP deficiency,XIAP,X-linked inhibitor of apoptosis,"Adolescent, Adult, Childhood, Infancy",X-linked recessive
X-linked lymphoproliferative disease due to SAP deficiency,SH2D1A,SH2 domain containing 1A,"Adolescent, Adult, Childhood, Infancy",X-linked recessive
Arthrogryposis-anterior horn cell disease syndrome,GLE1,GLE1 RNA export mediator,Antenatal,Autosomal recessive
Vegetative pyoderma gangrenosum,PTPN6,protein tyrosine phosphatase non-receptor type 6,"Adolescent, Adult, Childhood, Elderly",Multigenic/multifactorial
Gnathodiaphyseal dysplasia,ANO5,anoctamin 5,"Adolescent, Childhood, Infancy",Autosomal dominant
Congenital cornea plana,KERA,keratocan,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Bullous pyoderma gangrenosum,PTPN6,protein tyrosine phosphatase non-receptor type 6,"Adolescent, Adult, Childhood, Elderly",Multigenic/multifactorial
Pustular pyoderma gangrenosum,PTPN6,protein tyrosine phosphatase non-receptor type 6,"Adolescent, Adult, Childhood, Elderly",Multigenic/multifactorial
GRACILE syndrome,BCS1L,BCS1 ubiquinol-cytochrome c reductase complex chaperone,"Antenatal, Neonatal",Autosomal recessive
Aceruloplasminemia,CP,ceruloplasmin,"Adult, Elderly",Autosomal recessive
Achromatopsia,PDE6C,phosphodiesterase 6C,"Infancy, Neonatal",Autosomal recessive
Achromatopsia,RPGR,retinitis pigmentosa GTPase regulator,"Infancy, Neonatal",Autosomal recessive
Achromatopsia,CNGA3,cyclic nucleotide gated channel subunit alpha 3,"Infancy, Neonatal",Autosomal recessive
Achromatopsia,CNGB3,cyclic nucleotide gated channel subunit beta 3,"Infancy, Neonatal",Autosomal recessive
Achromatopsia,PDE6H,phosphodiesterase 6H,"Infancy, Neonatal",Autosomal recessive
Achromatopsia,GNAT2,G protein subunit alpha transducin 2,"Infancy, Neonatal",Autosomal recessive
Achromatopsia,ATF6,activating transcription factor 6,"Infancy, Neonatal",Autosomal recessive
EBV-induced lymphoproliferative disease due to CD70 deficiency,CD70,CD70 molecule,"Childhood, Infancy",Autosomal recessive
Congenital cataracts-facial dysmorphism-neuropathy syndrome,CTDP1,CTD phosphatase subunit 1,"Infancy, Neonatal",Autosomal recessive
Combined immunodeficiency due to ITK deficiency,ITK,IL2 inducible T cell kinase,"Adolescent, Childhood",Autosomal recessive
Craniolenticulosutural dysplasia,SEC23A,"SEC23 homolog A, COPII component","Infancy, Neonatal",Autosomal recessive
Thiamine-responsive megaloblastic anemia syndrome,SLC19A2,solute carrier family 19 member 2,Childhood,Autosomal recessive
Pleural mesothelioma,BAP1,BRCA1 associated deubiquitinase 1,All ages,Not applicable
Blomstrand lethal chondrodysplasia,PTH1R,parathyroid hormone 1 receptor,"Antenatal, Neonatal",Autosomal recessive
Schöpf-Schulz-Passarge syndrome,WNT10A,Wnt family member 10A,"Adolescent, Childhood","Autosomal dominant, Autosomal recessive"
Congenital short QT syndrome,SLC4A3,solute carrier family 4 member 3,All ages,Autosomal dominant
Congenital short QT syndrome,KCNJ2,potassium inwardly rectifying channel subfamily J member 2,All ages,Autosomal dominant
Congenital short QT syndrome,KCNH2,potassium voltage-gated channel subfamily H member 2,All ages,Autosomal dominant
Congenital short QT syndrome,KCNQ1,potassium voltage-gated channel subfamily Q member 1,All ages,Autosomal dominant
Congenital short QT syndrome,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,All ages,Autosomal dominant
Keratolytic winter erythema,CTSB,cathepsin B,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal dominant
Striate palmoplantar keratoderma,DSP,desmoplakin,"Infancy, Neonatal",Autosomal dominant
Striate palmoplantar keratoderma,KRT1,keratin 1,"Infancy, Neonatal",Autosomal dominant
Striate palmoplantar keratoderma,DSG1,desmoglein 1,"Infancy, Neonatal",Autosomal dominant
Potocki-Shaffer syndrome,ALX4,ALX homeobox 4,"Infancy, Neonatal",Unknown
Potocki-Shaffer syndrome,EXT2,exostosin glycosyltransferase 2,"Infancy, Neonatal",Unknown
Potocki-Shaffer syndrome,PHF21A,PHD finger protein 21A,"Infancy, Neonatal",Unknown
Generalized arterial calcification of infancy,ABCC6,ATP binding cassette subfamily C member 6,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Generalized arterial calcification of infancy,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
Ethylmalonic encephalopathy,ETHE1,ETHE1 persulfide dioxygenase,"Infancy, Neonatal",Autosomal recessive
Growth delay-intellectual disability-hepatopathy syndrome,IARS1,isoleucyl-tRNA synthetase 1,"Infancy, Neonatal",Autosomal recessive
Formiminoglutamic aciduria,FTCD,formimidoyltransferase cyclodeaminase,Childhood,Autosomal recessive
WHIM syndrome,CXCR4,C-X-C motif chemokine receptor 4,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, Not applicable"
GNB5-related intellectual disability-cardiac arrhythmia syndrome,GNB5,G protein subunit beta 5,"Childhood, Infancy",Autosomal recessive
EBV-induced lymphoproliferative disease due to CARMIL2 deficiency,CARMIL2,capping protein regulator and myosin 1 linker 2,Childhood,Autosomal recessive
Leukoencephalopathy with calcifications and cysts,SNORD118,"small nucleolar RNA, C/D box 118","Adolescent, Adult, Childhood, Infancy",Autosomal recessive
Tietz syndrome,MITF,melanocyte inducing transcription factor,Neonatal,Autosomal dominant
Auditory neuropathy-optic atrophy syndrome,FDXR,ferredoxin reductase,"Adolescent, Childhood, Infancy",Autosomal recessive
Hereditary myopathy with lactic acidosis due to ISCU deficiency,ISCU,iron-sulfur cluster assembly enzyme,Childhood,Autosomal recessive
Miyoshi myopathy,DYSF,dysferlin,Adult,Autosomal recessive
Optic atrophy-ataxia-peripheral neuropathy-global developmental delay syndrome,FDXR,ferredoxin reductase,"Adolescent, Childhood, Infancy",Autosomal recessive
Isolated hyperchlorhidrosis,CA12,carbonic anhydrase 12,Infancy,Autosomal recessive
Gastrointestinal stromal tumor,PDGFRA,platelet derived growth factor receptor alpha,"Adolescent, Adult, Childhood","Autosomal dominant, Not applicable"
Gastrointestinal stromal tumor,SDHA,succinate dehydrogenase complex flavoprotein subunit A,"Adolescent, Adult, Childhood","Autosomal dominant, Not applicable"
Gastrointestinal stromal tumor,SDHB,succinate dehydrogenase complex iron sulfur subunit B,"Adolescent, Adult, Childhood","Autosomal dominant, Not applicable"
Gastrointestinal stromal tumor,SDHC,succinate dehydrogenase complex subunit C,"Adolescent, Adult, Childhood","Autosomal dominant, Not applicable"
Gastrointestinal stromal tumor,KIT,"KIT proto-oncogene, receptor tyrosine kinase","Adolescent, Adult, Childhood","Autosomal dominant, Not applicable"
Congenital fibrosis of extraocular muscles,COL25A1,collagen type XXV alpha 1 chain,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable"
Congenital fibrosis of extraocular muscles,TUBA1A,tubulin alpha 1a,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable"
Congenital fibrosis of extraocular muscles,PHOX2A,paired like homeobox 2A,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable"
Congenital fibrosis of extraocular muscles,KIF21A,kinesin family member 21A,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable"
Congenital fibrosis of extraocular muscles,TUBB3,tubulin beta 3 class III,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable"
Congenital fibrosis of extraocular muscles,TUBB2B,tubulin beta 2B class IIb,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable"
SYNGAP1-related developmental and epileptic encephalopathy,SYNGAP1,synaptic Ras GTPase activating protein 1,Infancy,Autosomal dominant
Paroxysmal extreme pain disorder,SCN10A,sodium voltage-gated channel alpha subunit 10,"Infancy, Neonatal",Autosomal dominant
